station_name,distance
Maze Hill,0.46787314017949677
Cutty Sark for Maritime Greenwich,0.7494132916075097
Greenwich,1.017984331046139
Island Gardens,1.1673688786058036
Westcombe Park,1.3810143490936702
Deptford Bridge,1.5935154496312693
Mudchute,1.6452880648785038
Elverson Road,1.6753342744223694
Blackheath,1.6817265575289482
Deptford,1.7807942492394833
Lewisham,1.823137298761637
St Johns,1.961873867865326
Crossharbour and London Arena,2.0740912545023638
New Cross,2.227051019469387
Charlton,2.3251628064449545
North Greenwich,2.3256966176854856
South Quay,2.68180458073138
Kidbrooke,2.733318271213298
New Cross Gate,2.743571632598498
Ladywell,2.8982751308665438
Canary Wharf,2.982573387530059
Hither Green,3.0128118891306395
West Silvertown,3.040410201777973
Heron Quays,3.043639682203185
Brockley,3.056846488088397
Blackwall,3.1851919838349194
East India,3.2482515630218582
Poplar,3.3327066050445726
West India Quay,3.3355905369083976
Pontoon Dock,3.4449458556981645
Lee,3.4752617850344665
Royal Victoria,3.5267860440008896
All Saints,3.5458148604091004
Surrey Quays,3.5985063945471962
Crofton Park,3.680384517353615
Westferry,3.798707920426854
Custom House,3.8118826462234754
South Bermondsey,3.865476249402776
Canning Town,3.8706600130433535
Nunhead,3.9533647429098107
Queens Road Peckham,3.9799194229276917
Woolwich Dockyard,4.028685905398569
Canada Water,4.055069176637349
Prince Regent,4.076725346443809
Catford Bridge,4.220563642945138
London City Airport,4.29577608813479
Catford,4.312793138333476
Rotherhithe,4.385607744306804
Honor Oak Park,4.408337196491721
Langdon Park,4.496714358960173
Royal Albert,4.516326375223655
Eltham,4.5182535183586605
Limehouse,4.534344073199381
Star Lane,4.582659704782894
Wapping,4.7246712667756805
Bermondsey,4.87313661957677
Devons Road,4.907076033391341
Peckham Rye,4.938761150941482
Woolwich Arsenal,4.9628050859003165
King George V,5.011498029834666
Beckton Park,5.035833176952518
Bromley-by-Bow,5.101216673504947
Woolwich,5.184696553824443
Bellingham,5.258058683426916
Shadwell,5.268985797238317
West Ham,5.466794492317089
Cyprus,5.501068440464309
Bow Church,5.526885354875851
Bow Road,5.53888436882784
Mile End,5.559758573416184
Mottingham,5.644159065290943
Grove Park,5.685399957992234
Stepney Green,5.732801104822423
Forest Hill,5.776173853852757
Beckton,5.78619244175766
Abbey Road,5.840271868801237
East Dulwich,5.882563971050123
Plaistow,5.896504702519498
Falconwood,5.924638549290992
Plumstead,5.982448703078659
Gallions Reach,5.985346446641072
Whitechapel,6.042285217497495
Pudding Mill Lane,6.155973896117128
Tower Gateway,6.163092808980195
Beckenham Hill,6.201015339178378
Tower Hill,6.295503362619463
Aldgate East,6.391193063598188
Denmark Hill,6.391802161489713
